web_scraper_order,web_scraper_start_url,data,image
"1777970960-1","https://myrubik.com/es/notation/3x3x3","L","https://myrubik.com/3x3x3/notacio/l_3x3x3_256.webp"
"1777970960-2","https://myrubik.com/es/notation/3x3x3","F","https://myrubik.com/3x3x3/notacio/f_3x3x3_256.webp"
"1777970960-3","https://myrubik.com/es/notation/3x3x3","R","https://myrubik.com/3x3x3/notacio/r_3x3x3_256.webp"
"1777970960-4","https://myrubik.com/es/notation/3x3x3","B","https://myrubik.com/3x3x3/notacio/b_3x3x3_256.webp"
"1777970960-5","https://myrubik.com/es/notation/3x3x3","U","https://myrubik.com/3x3x3/notacio/u_3x3x3_256.webp"
"1777970960-6","https://myrubik.com/es/notation/3x3x3","D","https://myrubik.com/3x3x3/notacio/d_3x3x3_256.webp"
"1777970960-7","https://myrubik.com/es/notation/3x3x3","L'","https://myrubik.com/3x3x3/notacio/l_prima_3x3x3_256.webp"
"1777970960-8","https://myrubik.com/es/notation/3x3x3","F'","https://myrubik.com/3x3x3/notacio/f_prima_3x3x3_256.webp"
"1777970960-9","https://myrubik.com/es/notation/3x3x3","R'","https://myrubik.com/3x3x3/notacio/r_prima_3x3x3_256.webp"
"1777970960-10","https://myrubik.com/es/notation/3x3x3","B'","https://myrubik.com/3x3x3/notacio/b_prima_3x3x3_256.webp"
"1777970960-11","https://myrubik.com/es/notation/3x3x3","U'","https://myrubik.com/3x3x3/notacio/u_prima_3x3x3_256.webp"
"1777970960-12","https://myrubik.com/es/notation/3x3x3","D'","https://myrubik.com/3x3x3/notacio/d_prima_3x3x3_256.webp"
"1777970960-13","https://myrubik.com/es/notation/3x3x3","M","https://myrubik.com/3x3x3/notacio/m_3x3x3_256.webp"
"1777970960-14","https://myrubik.com/es/notation/3x3x3","M'","https://myrubik.com/3x3x3/notacio/m_prima_3x3x3_256.webp"
"1777970960-15","https://myrubik.com/es/notation/3x3x3","E","https://myrubik.com/3x3x3/notacio/e_3x3x3_256.webp"
"1777970960-16","https://myrubik.com/es/notation/3x3x3","E'","https://myrubik.com/3x3x3/notacio/e_prima_3x3x3_256.webp"
"1777970960-17","https://myrubik.com/es/notation/3x3x3","S","https://myrubik.com/3x3x3/notacio/s_3x3x3_256.webp"
"1777970960-18","https://myrubik.com/es/notation/3x3x3","S'","https://myrubik.com/3x3x3/notacio/s_prima_3x3x3_256.webp"
"1777970960-19","https://myrubik.com/es/notation/3x3x3","u","https://myrubik.com/3x3x3/notacio/uw_3x3x3_256.webp"
"1777970960-20","https://myrubik.com/es/notation/3x3x3","d'","https://myrubik.com/3x3x3/notacio/dw_prima_3x3x3_256.webp"
"1777970960-21","https://myrubik.com/es/notation/3x3x3","l","https://myrubik.com/3x3x3/notacio/lw_3x3x3_256.webp"
"1777970960-22","https://myrubik.com/es/notation/3x3x3","l'","https://myrubik.com/3x3x3/notacio/lw_prima_3x3x3_256.webp"
"1777970960-23","https://myrubik.com/es/notation/3x3x3","x","https://myrubik.com/3x3x3/notacio/x_3x3x3_256.webp"
"1777970960-24","https://myrubik.com/es/notation/3x3x3","x'","https://myrubik.com/3x3x3/notacio/x_prima_3x3x3_256.webp"
"1777970960-25","https://myrubik.com/es/notation/3x3x3","y","https://myrubik.com/3x3x3/notacio/y_3x3x3_256.webp"
"1777970960-26","https://myrubik.com/es/notation/3x3x3","y'","https://myrubik.com/3x3x3/notacio/y_prima_3x3x3_256.webp"
"1777970960-27","https://myrubik.com/es/notation/3x3x3","z","https://myrubik.com/3x3x3/notacio/z_3x3x3_256.webp"
"1777970960-28","https://myrubik.com/es/notation/3x3x3","z'","https://myrubik.com/3x3x3/notacio/z_prima_3x3x3_256.webp"
"1777970960-29","https://myrubik.com/es/notation/3x3x3","U2","https://myrubik.com/3x3x3/notacio/u_3x3x3_256.webp"
"1777970960-30","https://myrubik.com/es/notation/3x3x3","R2","https://myrubik.com/3x3x3/notacio/r_3x3x3_256.webp"
"1777970960-31","https://myrubik.com/es/notation/3x3x3","B2","https://myrubik.com/3x3x3/notacio/b_3x3x3_256.webp"
